book_id,title,authors,average_rating,genre
1,Goal television,James Gonzales,2.9,Fantasy
2,When protect above mission,Chad Hopkins,3.6,History
3,Early concern decision west,Alexander Green,4,Fiction
4,As affect voice safe job,Mrs. Brittany Merritt,3.9,Biography
5,Determine week,Jennifer Fox,2.6,Romance
6,Service national know,Tammy Berry,4.1,Biography
7,Get information standard,Leslie Simpson,3.1,Mystery
8,Tough where whole less brother,Brandon Johnson,2.7,Non-Fiction
9,Special but remember actually base,Elizabeth Li,3.9,Science
10,Unit result already information,Stephanie Turner,4.4,Fiction
11,Discussion nor,Melanie Ortiz,4.3,Science Fiction
12,Play prevent,Shelly Higgins,3.3,Non-Fiction
13,Him down unit,Jorge Gordon,4.3,Science Fiction
14,Us physical wear way,James Franco,3.4,History
15,Financial drug order resource,Joseph Miranda,3.9,Fiction
16,Consumer officer single popular,Kyle Young,3.4,Biography
17,Certain general movie piece,Thomas Gallegos,3.8,Science
18,Evidence may along,Rachel Baker,3.9,History
19,Hear defense determine,Brittany Robertson,3.4,Science Fiction
20,Model crime product,Craig Gamble,3.6,Mystery
21,Media type when situation another,Evan Jimenez,3.8,Mystery
22,Share purpose or marriage each,Timothy Johnson,3.4,Fantasy
23,Gas address various appear girl,Matthew Brady,2.9,Fantasy
24,Affect house wear,Lisa Allen,4,History
25,Size argue cultural nation,Richard Blackwell,3.5,Biography
26,Whom base attention establish,Destiny James,3.1,Science Fiction
27,Person fast sense,Douglas Hill,3.7,Romance
28,Stock control serious window,Catherine Martinez,3.9,Fiction
29,Political according,Jerry Curry,3.9,Fiction
30,Clearly left thing brother education,Monica Cabrera,4.5,Biography
31,Between her PM,Jeremiah Hansen,4.6,Biography
32,Through management step,Aaron Bailey,3.6,Fiction
33,Message machine,Roberto Reyes,3.4,Science Fiction
34,Federal score last between,Linda Martin,3.7,Science Fiction
35,Coach Mrs,Michael Young,3.6,Fantasy
36,Exactly guess against,John Jones,3.8,History
37,Discuss voice seek,Emma Flores,4.5,Fiction
38,Road think together then,Joy Evans,4.6,Science
39,Try painting,Dustin Ray,3.3,Biography
40,Exactly measure accept what,Richard Morales,4.1,Fiction
41,Understand center discussion reach worry,Erin Benjamin,4,Science
42,Expect under month live east,Mrs. Nicole Velazquez DVM,4.2,Mystery
43,Standard region public career,Miguel Heath,3.2,Fantasy
44,Business close,Paul Brown,3.4,Romance
45,Fact since onto,Victoria Baker,3.8,Romance
46,Act gun,Dr. Jorge Carlson,3.8,Science Fiction
47,Everyone quite lose,Maria Simmons DDS,4.1,History
48,Election rock cover,Lisa Jones,3.5,Science Fiction
49,Will involve ten number,Denise Wright,4.1,Fiction
50,Senior from think,Heather Davidson,4.4,Fiction
51,Enough itself owner physical,Hailey Hardy,3.9,Fantasy
52,Its nice doctor usually bar,Benjamin Holmes,3.7,Fiction
53,Including ball recent,Christopher Santana,4.5,Biography
54,Exactly tree agent receive,Jody Matthews,4.5,Science
55,Different only require either,Benjamin Black,4,Science
56,Dream try sell,Benjamin Dorsey,3.2,Fantasy
57,Process network medical view agree,Daniel Meyer,4,Mystery
58,Challenge buy none environment,Jeremy Thomas,4.1,Non-Fiction
59,End accept,Cassandra Castillo,3.6,Non-Fiction
60,Artist born,Gregory Sherman DVM,3.3,History
61,Western federal production onto,Kevin Flynn,4.2,Non-Fiction
62,Stand pass,Jason Reese,2.7,Fiction
63,Coach rise health its,Michael Ramirez,3.4,Fantasy
64,With east,Nathan Johnson,4.4,Fiction
65,Glass recently,Rebecca Small,3.8,Mystery
66,Form could make,Andrew Hood,3.2,Science
67,Agreement enter opportunity start,Nicholas Cisneros,3.1,Mystery
68,Parent figure Congress ball question,Mark Smith,4,Biography
69,Form east blue,Christopher Rivera,3.9,Fantasy
70,Fly upon morning measure,James Brown,3.2,Non-Fiction
71,Animal possible strong military,Kylie Contreras,4.8,Non-Fiction
72,Party glass,Larry Cooper,4.6,Non-Fiction
73,Hope likely mouth yard,Kelli Nelson,2.6,Science
74,Common wife environmental until,John Love,1.8,Romance
75,Adult of another conference someone,Shaun Harrison,3.3,Science
76,Practice thought get paper,Cynthia Ortiz,4.4,Non-Fiction
77,Resource camera with anyone,Nancy Kim,4.1,Non-Fiction
78,Kitchen medical part argue,Wesley Parker,3.4,Fantasy
79,Doctor break floor,Tracey Figueroa,2.7,Non-Fiction
80,Area none enjoy state the,Austin Carroll,3.8,Mystery
81,Role everyone listen fine food,Jennifer Parrish,4,Non-Fiction
82,Course enough determine,Matthew Robertson,3.8,Romance
83,Road upon well,Brian Richardson,4.4,Non-Fiction
84,Sort west east major,Jonathan Ramirez,3.8,Fantasy
85,Spring character forward,Tina Strong,4.2,Biography
86,Public charge,Christopher Nguyen,3.7,Romance
87,Green tonight artist,Gregory Le,3.3,Romance
